scope,budget,label,reference,cell,error_ratio,error_ratio_ci90,routed_gain,routed_gain_retention,routed_gain_retention_ci90,band,band_delta,band_delta_ci90,mean_bits,evict_frac,tier0_frac,tier1_frac,tier2_frac,tier3_frac,tier4_frac,tier5_frac,tier6_frac,tier8_frac,median_cell_error_ratio,worst_cell_error_ratio,worst_cell_band_delta,pass
cell,3,no1,full,qwen3-8b@8192,1.0,"(1.0, 1.0)",1.9230698009103628,1.0,"(1.0, 1.0)",0.41256751543209874,0.0,"(0.0, 0.0)",2.999905292816533,0.48819456700968594,0.48819456700968594,,0.0008516752217205218,0.03618348077931883,0.09456569721646166,0.10222579499901131,0.11178527100809094,0.16619351376571082,,,,
macro,3,no1,full,macro,0.9962108645013128,"(0.9954640764357837, 0.996876539293715)",,1.0007840646742903,"(1.0005973123978726, 1.0009907016528117)",,0.0005018446180555502,"(0.00035264756944444525, 0.0006374782986111142)",,,,,,,,,,,1.0000000499847959,1.0027649157177994,-0.0002712673611111142,
cell,3,base3_dense,full,llama31-8b@131072,1.0217570538475578,"(1.0193796632941727, 1.0245823399767513)",1.7568006950445794,0.992752125931871,"(0.9919554737991603, 0.9936316305348358)",0.33637152777777785,-0.003146701388888886,"(-0.0037977430555555434, -0.002604166666666676)",2.999994722385303,0.5056588535320813,0.5056588535320813,,,0.026751176254898375,0.08885627104280168,0.08803649175642703,0.10072200432153332,0.18997520309225827,,,,
cell,3,base3_dense,full,llama31-8b@32768,1.002196503434036,"(0.9974116643520751, 1.0074275969887605)",2.1827229182438814,0.9961595734661023,"(0.99541652879502, 0.9967560208449393)",0.5003255208333334,-0.0013563368055555618,"(-0.0023328993055555616, -0.00048828124999999073)",2.999980639904468,0.4665201069304624,0.4665201069304624,,,0.052230926183516956,0.11572943516119111,0.10712722887866097,0.11120222322675051,0.14719007961941807,,,,
cell,3,base3_dense,full,qwen3-30b-a3b-2507@8192,1.0006504268700505,"(1.0005778744193556, 1.000715978982124)",1.663248191467292,0.9982837816926542,"(0.9982155198875199, 0.9983587700142591)",0.3116319444444444,-0.0005425347222222238,"(-0.0007595486111110911, -0.0003255208333333426)",2.999884578438402,0.4742693797915173,0.4742693797915173,,,0.04460098266321034,0.09404145524240251,0.11675715395363374,0.12825909354144835,0.14207193480778776,,,,
cell,3,base3_dense,full,qwen3-8b@8192,1.002585079737193,"(1.0023332210140599, 1.0028335548193743)",1.9216773562966039,0.9992759261192184,"(0.9992264250908034, 0.9993210965938726)",0.4124710648148148,-9.645061728395336e-05,"(-0.00019290123456790673, 0.0)",2.999904067164118,0.4884617592361081,0.4884617592361081,,,0.03678647623296547,0.09456084567565315,0.10222117326803057,0.11178128763774291,0.16618845794949985,,,,
macro,3,base3_dense,full,macro,1.0067601980214027,"(1.0053984970783263, 1.0082761399795626)",,0.9966147139784356,"(0.9963447236142927, 0.996884018178281)",,-0.0012855058834876562,"(-0.0015718436535493798, -0.0010156702112268435)",,,,,,,,,,,1.0023907915856145,1.0217570538475578,-0.003146701388888886,
cell,3,nested3,full,llama31-8b@131072,1.0308740494610673,"(1.0283707633283028, 1.034542154829741)",1.743821449534601,0.9854176721094379,"(0.9844224765389986, 0.9864313179588219)",0.3328450520833333,-0.006673177083333333,"(-0.007866753472222229, -0.005533854166666667)",2.9999932180941724,0.5091717691885937,0.5091717691885937,,,0.02673125159498045,0.12005616339313722,,0.15637585842481344,0.18766495739847516,,,,
cell,3,nested3,full,llama31-8b@32768,1.0157305092933369,"(1.0104610111582064, 1.0220016940292733)",2.1596392282915984,0.9856245492792529,"(0.9842642756306659, 0.9868905286035348)",0.49712456597222227,-0.004557291666666685,"(-0.006076388888888913, -0.0030924479166666665)",2.9999761002462435,0.4707335500628041,0.4707335500628041,,,0.052248876179188816,0.1543570632420003,,0.17774143269368903,0.14491907782231775,,,,
cell,3,nested3,full,qwen3-30b-a3b-2507@8192,1.0135414720121227,"(1.0113702115175154, 1.0152052485623175)",1.6393427994575414,0.9839357335415925,"(0.9832308662414676, 0.9848612612755272)",0.29964192708333337,-0.012532552083333329,"(-0.014539930555555552, -0.010362413194444434)",2.99989020875848,0.4800645878146085,0.4800645878146085,,,0.044627927766440534,0.13295656150607615,,0.2023136019340724,0.14003732097880242,,,,
cell,3,nested3,full,qwen3-8b@8192,1.0176910984387557,"(1.0156326365140642, 1.0199939956887039)",1.898330537492991,0.9871355353790797,"(0.9860857196116276, 0.9881173259518291)",0.40586419753086417,-0.006703317901234573,"(-0.007426697530864186, -0.006028163580246919)",2.999900007190494,0.49274556763231736,0.49274556763231736,,,0.03680077551113791,0.1306019720338803,,0.17586184302987815,0.1639898417927863,,,,
macro,3,nested3,full,macro,1.019437021132094,"(1.0177515784904145, 1.0213005801956574)",,0.9855277205278943,"(0.9850091275380509, 0.9860582024322259)",,-0.00761658468364198,"(-0.008341471354166676, -0.006897726176697535)",,,,,,,,,,,1.0167108038660464,1.0308740494610673,-0.012532552083333329,
cell,3,nested4,full,llama31-8b@131072,1.1167021542153526,"(1.1088473925154119, 1.1257227122811928)",1.685870496947296,0.9526701148349548,"(0.949870988523861, 0.9554084692951855)",0.3204752604166667,-0.01904296875,"(-0.022081163194444458, -0.016330295138888878)",2.9999893404059104,0.5151794905062387,0.5151794905062387,,,,0.14165938189094895,,0.15596860399019197,0.18719252361262037,,,,
cell,3,nested4,full,llama31-8b@32768,1.2581455567808222,"(1.236279673602918, 1.280121800214826)",1.994462765542705,0.9102406728818949,"(0.9022164574318423, 0.9194676574969765)",0.47856987847222227,-0.023111979166666675,"(-0.025390625, -0.02094184027777779)",2.9999471356440095,0.48245364541318114,0.48245364541318114,,,,0.1967371684941561,,0.17673751353695866,0.14407167255570413,,,,
cell,3,nested4,full,qwen3-30b-a3b-2507@8192,1.0269581415317868,"(1.0240095114773007, 1.0299152621511563)",1.5985378069443603,0.9594445226405524,"(0.9566096007176, 0.962287845882395)",0.28862847222222227,-0.023546006944444448,"(-0.026909722222222224, -0.020616319444444448)",2.9998910705421653,0.48999693205008,0.48999693205008,,,,0.16935882144761275,,0.20134909363337194,0.13929515286893535,,,,
cell,3,nested4,full,qwen3-8b@8192,1.0587707431019195,"(1.0546483826492556, 1.0632365827209638)",1.8533883371955775,0.9637655046728939,"(0.9613165608432824, 0.9662021419523309)",0.39554398148148145,-0.017023533950617276,"(-0.01847029320987653, -0.015383873456790117)",2.9998985772626767,0.5009949744165486,0.5009949744165486,,,,0.1603868577785622,,0.17529709814534278,0.16332106965954643,,,,
macro,3,nested4,full,macro,1.1117463930429006,"(1.1063209596903831, 1.1173057552113792)",,0.9462861989867479,"(0.9439024508902479, 0.9488532108586423)",,-0.020681122202932098,"(-0.02196662808641976, -0.01943170994888117)",,,,,,,,,,,1.087736448658636,1.2581455567808222,-0.023546006944444448,
transition,3,no1,full,macro,,,,,,,,,,,,,,,,,,,1.0000000499847959,1.0027649157177994,,True
transition,3,base3_dense,no1,macro,,,,,,,,,,,,,,,,,,,1.0107624254978536,1.020344815744591,,True
