model,ctx,task,B,arm,score,head_err_mean
llama31-8b,131072,niah_multikey,3,evict,0.45,0.12160215569109331
llama31-8b,131072,niah_multikey,3,interior_cascade,0.5,0.06041186004466773
llama31-8b,131072,niah_multikey,3,laprox,0.7,0.11186297215296245
llama31-8b,131072,niah_multikey,3,obck_ada,0.85,0.10886528613378724
llama31-8b,131072,niah_multikey,3,router_calib,0.55,0.05632756511205812
llama31-8b,131072,niah_multikey,3,uniform,0.95,0.1967340628850653
llama31-8b,131072,niah_multivalue,2,adakv,0.575,0.18244380040751412
llama31-8b,131072,niah_multivalue,2,dropkv,0.35,0.20222636462517682
llama31-8b,131072,niah_multivalue,2,evict,0.4125,0.18803508531428523
llama31-8b,131072,niah_multivalue,2,interior_cascade,0.3375,0.09503661985273154
llama31-8b,131072,niah_multivalue,2,laprox,0.5875,0.18916589699215597
llama31-8b,131072,niah_multivalue,2,obck_ada,0.6375,0.1823326217233965
llama31-8b,131072,niah_multivalue,2,router_calib,0.3375,0.09288457267433597
llama31-8b,131072,niah_multivalue,2,uniform,0.9375,0.7035168928629689
llama31-8b,131072,niah_multivalue,3,adakv,0.7875,0.10404080086987173
llama31-8b,131072,niah_multivalue,3,dropkv,0.55,0.12544578255336997
llama31-8b,131072,niah_multivalue,3,evict,0.5375,0.11554407599156342
llama31-8b,131072,niah_multivalue,3,interior_cascade,0.55,0.051316460886178306
llama31-8b,131072,niah_multivalue,3,laprox,0.8125,0.10670168465544427
llama31-8b,131072,niah_multivalue,3,obck_ada,0.85,0.10376453954772913
llama31-8b,131072,niah_multivalue,3,router_calib,0.6875,0.04855792346953143
llama31-8b,131072,niah_multivalue,3,uniform,0.9875,0.19333503796117596
llama31-8b,131072,niah_single,2,adakv,1.0,0.18003575773149136
llama31-8b,131072,niah_single,2,dropkv,0.75,0.19952085708890333
llama31-8b,131072,niah_single,2,evict,0.9,0.18558410632854386
llama31-8b,131072,niah_single,2,interior_cascade,0.45,0.09346092553421656
llama31-8b,131072,niah_single,2,laprox,0.95,0.18636482265240956
llama31-8b,131072,niah_single,2,obck_ada,0.95,0.1795398798744285
llama31-8b,131072,niah_single,2,router_calib,0.45,0.09253538083893528
llama31-8b,131072,niah_single,2,uniform,1.0,0.7303454275450579
llama31-8b,131072,niah_single,3,adakv,1.0,0.10360617604568563
llama31-8b,131072,niah_single,3,dropkv,0.85,0.1246544842490576
llama31-8b,131072,niah_single,3,evict,0.95,0.11328524487151508
llama31-8b,131072,niah_single,3,interior_cascade,0.65,0.05065419198014674
llama31-8b,131072,niah_single,3,laprox,1.0,0.10642702161305517
llama31-8b,131072,niah_single,3,obck_ada,0.95,0.10381034804949367
llama31-8b,131072,niah_single,3,router_calib,0.65,0.049212412798540786
llama31-8b,131072,niah_single,3,uniform,1.0,0.20095876471294233
llama31-8b,131072,vt,2,adakv,0.74,0.17367483930104338
llama31-8b,131072,vt,2,dropkv,0.42000000000000004,0.19738385072088338
llama31-8b,131072,vt,2,evict,0.48,0.18043402688920826
llama31-8b,131072,vt,2,interior_cascade,0.5,0.08850254344438892
llama31-8b,131072,vt,2,laprox,0.8099999999999999,0.1782569829911409
llama31-8b,131072,vt,2,obck_ada,0.8099999999999999,0.17538913167983924
llama31-8b,131072,vt,2,router_calib,0.58,0.08628491691275057
llama31-8b,131072,vt,2,uniform,0.8300000000000001,0.6763441371871376
llama31-8b,131072,vt,3,adakv,0.9,0.09954914736805226
llama31-8b,131072,vt,3,dropkv,0.73,0.12216675671620485
llama31-8b,131072,vt,3,evict,0.67,0.11035331987438679
llama31-8b,131072,vt,3,interior_cascade,0.79,0.0470541390309946
llama31-8b,131072,vt,3,laprox,0.9400000000000001,0.10032331354575322
llama31-8b,131072,vt,3,obck_ada,0.96,0.10053600199077455
llama31-8b,131072,vt,3,router_calib,0.82,0.044798371417277674
llama31-8b,131072,vt,3,uniform,0.99,0.18269356537426207
qwen3-8b,8192,niah_multikey,2,adakv,0.0,0.4041341350082033
qwen3-8b,8192,niah_multikey,2,dropkv,0.05,0.3973083942975514
qwen3-8b,8192,niah_multikey,2,evict,0.0,0.3952239630946396
qwen3-8b,8192,niah_multikey,2,interior_cascade,0.15,0.25052950242133737
qwen3-8b,8192,niah_multikey,2,laprox,0.05,0.4141516051825883
qwen3-8b,8192,niah_multikey,2,obck_ada,0.05,0.4218179054746657
qwen3-8b,8192,niah_multikey,2,router_calib,0.9,0.22172100531494143
qwen3-8b,8192,niah_multikey,2,uniform,0.95,0.7536626736710268
qwen3-8b,8192,niah_multikey,3,adakv,0.15,0.2997707898742366
qwen3-8b,8192,niah_multikey,3,dropkv,0.2,0.2948328109165653
qwen3-8b,8192,niah_multikey,3,evict,0.1,0.29737457072681267
qwen3-8b,8192,niah_multikey,3,interior_cascade,0.5,0.15759747592163936
qwen3-8b,8192,niah_multikey,3,laprox,0.3,0.3034191759228778
qwen3-8b,8192,niah_multikey,3,obck_ada,0.1,0.31025269654250687
qwen3-8b,8192,niah_multikey,3,router_calib,1.0,0.11997972245886859
qwen3-8b,8192,niah_multikey,3,uniform,1.0,0.28498915799428776
qwen3-8b,8192,niah_single,2,adakv,0.05,0.38396026612896983
qwen3-8b,8192,niah_single,2,dropkv,0.1,0.3820983321535013
qwen3-8b,8192,niah_single,2,evict,0.1,0.37498206007219065
qwen3-8b,8192,niah_single,2,interior_cascade,0.2,0.21557118031503214
qwen3-8b,8192,niah_single,2,laprox,0.25,0.3880062532910822
qwen3-8b,8192,niah_single,2,obck_ada,0.15,0.40051443401203135
qwen3-8b,8192,niah_single,2,router_calib,1.0,0.19859458093537344
qwen3-8b,8192,niah_single,2,uniform,0.95,0.7709123684733534
qwen3-8b,8192,niah_single,3,adakv,0.25,0.27771748186507805
qwen3-8b,8192,niah_single,3,dropkv,0.35,0.28091144263116513
qwen3-8b,8192,niah_single,3,evict,0.25,0.2780938319946335
qwen3-8b,8192,niah_single,3,interior_cascade,0.6,0.12925824964072624
qwen3-8b,8192,niah_single,3,laprox,0.55,0.2785139237095878
qwen3-8b,8192,niah_single,3,obck_ada,0.4,0.28931073061238266
qwen3-8b,8192,niah_single,3,router_calib,1.0,0.10863648630310833
qwen3-8b,8192,niah_single,3,uniform,1.0,0.2966227589428285
qwen3-8b,8192,vt,2,adakv,0.27999999999999997,0.3720721909780431
qwen3-8b,8192,vt,2,dropkv,0.27999999999999997,0.36852507616010816
qwen3-8b,8192,vt,2,evict,0.19,0.36787997092931324
qwen3-8b,8192,vt,2,interior_cascade,0.47000000000000003,0.2167946668631441
qwen3-8b,8192,vt,2,laprox,0.41,0.37262960296915393
qwen3-8b,8192,vt,2,obck_ada,0.43,0.38196053947065656
qwen3-8b,8192,vt,2,router_calib,0.99,0.19525651040607767
qwen3-8b,8192,vt,2,uniform,0.45999999999999996,0.7662633513172774
qwen3-8b,8192,vt,3,adakv,0.62,0.2691987383441747
qwen3-8b,8192,vt,3,dropkv,0.63,0.2690326202401757
qwen3-8b,8192,vt,3,evict,0.63,0.2707416273448094
qwen3-8b,8192,vt,3,interior_cascade,0.8099999999999999,0.13346376443141078
qwen3-8b,8192,vt,3,laprox,0.6599999999999999,0.2696983564530947
qwen3-8b,8192,vt,3,obck_ada,0.6799999999999999,0.2755632357771661
qwen3-8b,8192,vt,3,router_calib,1.0,0.10689617002576077
qwen3-8b,8192,vt,3,uniform,1.0,0.2793497059819362
qwen3-8b,32768,niah_multikey,2,adakv,0.05,0.29937806169134845
qwen3-8b,32768,niah_multikey,2,dropkv,0.15,0.3046038380062269
qwen3-8b,32768,niah_multikey,2,evict,0.0,0.2978630826802496
qwen3-8b,32768,niah_multikey,2,interior_cascade,0.1,0.18633828403596914
qwen3-8b,32768,niah_multikey,2,laprox,0.15,0.31126929631140693
qwen3-8b,32768,niah_multikey,2,obck_ada,0.15,0.31694492749784586
qwen3-8b,32768,niah_multikey,2,router_calib,1.0,0.16198412770235432
qwen3-8b,32768,niah_multikey,2,uniform,0.75,0.7092042079524877
qwen3-8b,32768,niah_multikey,3,adakv,0.1,0.2037874170262029
qwen3-8b,32768,niah_multikey,3,dropkv,0.3,0.21794554472021557
qwen3-8b,32768,niah_multikey,3,evict,0.1,0.21370443519756818
qwen3-8b,32768,niah_multikey,3,interior_cascade,0.4,0.11646687174099088
qwen3-8b,32768,niah_multikey,3,laprox,0.3,0.2068265140432719
qwen3-8b,32768,niah_multikey,3,obck_ada,0.25,0.21624145429623512
qwen3-8b,32768,niah_multikey,3,router_calib,1.0,0.08526842928565181
qwen3-8b,32768,niah_multikey,3,uniform,1.0,0.2615883849277286
qwen3-8b,32768,niah_single,2,adakv,0.2,0.3000569357294538
qwen3-8b,32768,niah_single,2,dropkv,0.3,0.30764862224950507
qwen3-8b,32768,niah_single,2,evict,0.2,0.29829445899189083
qwen3-8b,32768,niah_single,2,interior_cascade,0.35,0.172168769458521
qwen3-8b,32768,niah_single,2,laprox,0.4,0.30814398536330556
qwen3-8b,32768,niah_single,2,obck_ada,0.25,0.3210258019016428
qwen3-8b,32768,niah_single,2,router_calib,1.0,0.1558119329928067
qwen3-8b,32768,niah_single,2,uniform,0.95,0.7463982370319495
qwen3-8b,32768,niah_single,3,adakv,0.5,0.20342951793509917
qwen3-8b,32768,niah_single,3,dropkv,0.55,0.21922295708846837
qwen3-8b,32768,niah_single,3,evict,0.3,0.2134788879693878
qwen3-8b,32768,niah_single,3,interior_cascade,0.45,0.10409806313584183
qwen3-8b,32768,niah_single,3,laprox,0.7,0.2047722218411347
qwen3-8b,32768,niah_single,3,obck_ada,0.55,0.21654612520078054
qwen3-8b,32768,niah_single,3,router_calib,1.0,0.08323266858185412
qwen3-8b,32768,niah_single,3,uniform,1.0,0.26940330793953926
qwen3-8b,32768,vt,2,adakv,0.45,0.2872392102147857
qwen3-8b,32768,vt,2,dropkv,0.4,0.29434539886783795
qwen3-8b,32768,vt,2,evict,0.27999999999999997,0.28865343382584246
qwen3-8b,32768,vt,2,interior_cascade,0.4600000000000001,0.16501877466609463
qwen3-8b,32768,vt,2,laprox,0.79,0.28974120710932694
qwen3-8b,32768,vt,2,obck_ada,0.61,0.3014225000581613
qwen3-8b,32768,vt,2,router_calib,0.99,0.14791708273544282
qwen3-8b,32768,vt,2,uniform,0.4,0.7157868658339753
qwen3-8b,32768,vt,3,adakv,0.77,0.19138302686389083
qwen3-8b,32768,vt,3,dropkv,0.7,0.2083554939523938
qwen3-8b,32768,vt,3,evict,0.6900000000000001,0.20229758374821105
qwen3-8b,32768,vt,3,interior_cascade,0.76,0.09980957637183721
qwen3-8b,32768,vt,3,laprox,0.9199999999999999,0.19007041539727773
qwen3-8b,32768,vt,3,obck_ada,0.8099999999999999,0.20188322076147497
qwen3-8b,32768,vt,3,router_calib,0.99,0.07655376716498975
qwen3-8b,32768,vt,3,uniform,0.95,0.26149854791570726
